Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Amazon EC2,0,438.48,5261.76,USD,"Operating system (Linux), Quantity (6), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (m5.large)"
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,37.52,450.24,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),S3 Standard,0,94.21,1130.52,USD,S3 Standard storage (4 TB per month)
My Estimate,US East (N. Virginia),Data Transfer,0,0,0.00,USD," Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Not selected) 0 TB per month 
"
My Estimate,US East (N. Virginia),Amazon Aurora MySQL-Compatible,0,3397.2,40766.40,USD,"Change records per statement (0.38), (1 instances)  db.r5.8xlarge  Memory optimized  OnDemand, Storage amount (100 GB)"
My Estimate,US East (N. Virginia),Amazon Aurora MySQL-Compatible,0,1703.6,20443.20,USD,"Change records per statement (0.38), (1 instances)  db.r5.4xlarge  Memory optimized  OnDemand, Storage amount (100 GB)"



"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
